Nom image,Classe,Chemin image,Dimensions,Volume,Teinte,Luminosité
BA_689200.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_689200.jpg,360x363,130680,61.42791551882461,224.4851928374656
BA_883452.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_883452.jpg,360x363,130680,72.4623125191307,221.2867003367004
BA_382161.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_382161.jpg,366x369,135054,152.13259140788128,215.98578346439203
BA_175579.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_175579.jpg,360x363,130680,37.248048668503216,225.4050505050505
BA_775722.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_775722.jpg,360x363,130680,41.44480410162228,234.7410468319559
BA_209608.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_209608.jpg,360x363,130680,79.76337618610346,217.849273033364
BA_977935.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_977935.jpg,360x363,130680,65.42392868074687,222.1685950413223
BA_95396.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_95396.jpg,360x363,130680,46.57295684113866,230.19227119681665
BA_693714.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_693714.jpg,360x363,130680,48.81432506887053,227.96819712274257
BA_878384.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_878384.jpg,360x363,130680,77.14600550964187,214.0416437098256
BA_691117.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_691117.jpg,360x363,130680,56.93806244260789,220.4687174778084
BA_240977.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_240977.jpg,360x363,130680,52.89093204775023,219.7281603917968
BA_762060.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_762060.jpg,360x363,130680,75.49323538414447,216.5297826752372
BA_347981.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_347981.jpg,360x363,130680,71.92039332721151,219.9013008876645
BA_418760.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_418760.jpg,360x363,130680,40.84175849403122,232.6016452402816
BA_727528.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_727528.jpg,360x363,130680,27.96682736455464,228.8246250382614
BA_879878.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_879878.jpg,360x363,130680,83.0913146617692,213.77339302112028
BA_238012.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_238012.jpg,360x363,130680,27.20287725742272,230.5388965411693
BA_752996.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_752996.jpg,360x363,130680,74.02737220691766,219.5042929292929
BA_482919.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_482919.jpg,360x363,130680,58.993059381695744,224.4530073461892
BA_23839.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_23839.jpg,360x363,130680,56.203887358432816,230.2376721763085
BA_535962.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_535962.jpg,360x363,130680,70.12438781756964,222.51756963575144
BA_961010.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_961010.jpg,360x363,130680,34.57153351698806,224.65535659626568
BA_77298.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_77298.jpg,360x363,130680,27.966521273339456,232.8410238751148
BA_499861.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_499861.jpg,360x363,130680,75.38786348331803,220.55431588613408
BA_620858.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_620858.jpg,360x363,130680,53.12259718396082,227.25987909397
BA_633824.jpg,basophil,PBC_dataset_normal_DIB/basophil/BA_633824.jpg,360x363,130680,47.84692378328742,222.56304713804712
